from,LTR10.LC10,LTR13.LC10,LTR13.LC13,LTR13.LC16,LTR13.LC20,LTR13.LC8,LTR15.LC10,LTR15.LC13,LTR15.LC38,LTR15.LC52,LTR19.LC10,LTR19.LC13,LTR19.LC16,LTR19.LC50,LTR2.LC16,LTR21.LC10,LTR21.LC13,LTR21.LC14,LTR21.LC16,LTR21.LC8,LTR30.LC14,LTR36.LC20,LTR59.LC10,LTR67.LC14,LTR68.LC20,LTR7.LC13,LTR7.LC1,LTR7.LC36,LTR9.LC13,LTR9.LC9
LTR13.LC14,0,7,2042,3,5,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,267,0,0,281,0,0,0,0,0,0
LTR15.LC16,0,0,0,84,0,0,7,3910,216,53,0,0,9,0,69,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
LTR19.LC20,0,0,0,0,26,0,0,0,0,0,0,776,3,20,0,0,0,0,0,0,0,32,0,0,30,0,0,0,0,0
LTR21.LC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0
LTR7.LC8,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,477,47,55,0,0
LTR9.LC10,99,243,0,0,0,0,11,0,0,0,24,0,0,0,0,164,0,0,0,0,0,0,114,0,0,0,0,0,2187,130
